Modelo,Clase ,Exactitud,Precisión,Sensibilidad,F1,AUC
Tree,1,0.7491115849324804,0.5201535508637236,0.7245989304812834,0.605586592178771,0.7412926888611645
,0,,0.883747,0.757986,0.82,
Regresión Logística,1,0.7668798862828714,0.5440613026819924,0.7593582887700535,0.6339285714285714,0.7644806932717644
,0,,0.898305,0.769603,0.83,
MLP,1,0.7277896233120114,0.4919499105545617,0.7352941176470589,0.5894962486602358,0.7301833608564434
,0,,0.883255,0.725073,0.8,
